4.78	0.00	2.50	3.57	0.00	0.00	0.00	0.00	0.00	1543900	160268	109813	138323	1772	1017	806	0.49	0.01	0.28	0.01	0.22	0.01
4.63	0.00	2.50	3.79	0.00	0.00	0.00	0.00	0.00	1542197	160174	110174	137545	1830	984	752	0.51	0.01	0.28	0.01	0.21	0.01
3.16	0.00	2.50	5.21	0.00	0.00	0.00	0.00	0.00	1546603	157714	116309	129094	1695	1376	466	0.48	0.01	0.39	0.01	0.13	0.01
3.38	0.00	2.50	5.06	0.00	0.00	0.00	0.00	0.00	1536183	159306	116746	132566	1780	1281	502	0.50	0.01	0.36	0.01	0.14	0.01
3.59	0.00	2.50	4.90	0.00	0.00	0.00	0.00	0.00	1554337	159114	114184	130942	1792	1322	532	0.49	0.01	0.36	0.01	0.15	0.01
2.93	0.00	2.50	5.36	0.00	0.00	0.00	0.00	0.00	1547179	157534	118563	127798	1817	1473	424	0.49	0.01	0.40	0.01	0.11	0.01
2.67	0.00	2.50	5.36	0.00	0.00	0.00	0.00	0.00	1545128	167223	108120	131341	2021	985	554	0.57	0.02	0.28	0.01	0.16	0.01
5.07	0.00	2.50	2.83	0.00	0.00	0.00	0.00	0.00	1539271	165992	98924	143197	1978	555	942	0.57	0.02	0.16	0.01	0.27	0.01
2.39	0.00	2.50	5.51	0.00	0.00	0.00	0.00	0.00	1550271	168328	109884	132062	2022	1028	475	0.57	0.02	0.29	0.01	0.13	0.01
3.97	0.00	2.50	4.38	0.00	0.00	0.00	0.00	0.00	1553125	168251	100780	136175	2246	649	729	0.62	0.02	0.18	0.01	0.20	0.01
2.93	0.00	2.50	5.21	0.00	0.00	0.00	0.00	0.00	1555337	166765	105548	131296	2142	960	622	0.58	0.02	0.26	0.01	0.17	0.01
3.16	0.00	2.50	5.06	0.00	0.00	0.00	0.00	0.00	1544958	168704	105544	134328	2160	841	606	0.60	0.02	0.23	0.01	0.17	0.01
4.78	0.00	2.50	3.34	0.00	0.00	0.00	0.00	0.00	1542378	168339	98587	140786	2155	578	868	0.60	0.02	0.16	0.01	0.24	0.01
4.93	0.00	2.50	3.10	0.00	0.00	0.00	0.00	0.00	1543087	167160	98865	143438	2081	516	964	0.58	0.02	0.14	0.01	0.27	0.01
5.21	0.00	2.50	2.53	0.00	0.00	0.00	0.00	0.00	1546652	165302	98267	143312	2087	573	1071	0.56	0.02	0.15	0.01	0.29	0.01
4.47	0.00	2.50	3.79	0.00	0.00	0.00	0.00	0.00	1543242	174236	105793	145022	2206	628	857	0.60	0.02	0.17	0.01	0.23	0.01
4.31	0.00	2.50	4.00	0.00	0.00	0.00	0.00	0.00	1532499	169125	99923	139809	2090	581	807	0.60	0.02	0.17	0.01	0.23	0.01
4.63	0.00	2.50	3.57	0.00	0.00	0.00	0.00	0.00	1554780	166684	97550	137349	2220	606	884	0.60	0.02	0.16	0.01	0.24	0.01
4.14	0.00	2.50	4.19	0.00	0.00	0.00	0.00	0.00	1555525	167594	98363	134512	2324	644	769	0.62	0.02	0.17	0.01	0.21	0.01
3.78	0.00	2.50	4.56	0.00	0.00	0.00	0.00	0.00	1553212	167960	101217	132867	2271	751	755	0.60	0.02	0.20	0.01	0.20	0.01
3.59	0.00	2.50	4.73	0.00	0.00	0.00	0.00	0.00	1542070	168776	102212	134818	2186	735	756	0.59	0.02	0.20	0.01	0.21	0.01
3.38	0.00	2.50	4.90	0.00	0.00	0.00	0.00	0.00	1541860	169513	103423	134064	2230	767	619	0.62	0.02	0.21	0.01	0.17	0.01
2.39	0.00	2.50	5.36	0.00	0.00	0.00	0.00	0.00	1550213	174832	96966	132384	2475	547	594	0.68	0.02	0.15	0.01	0.16	0.01
3.59	0.00	2.50	4.56	0.00	0.00	0.00	0.00	0.00	1566529	177372	96012	139565	2499	372	846	0.67	0.02	0.10	0.01	0.23	0.01
5.07	0.00	2.50	2.53	0.00	0.00	0.00	0.00	0.00	1548858	170539	92152	143337	2289	313	1070	0.62	0.02	0.09	0.01	0.29	0.01
4.93	0.00	2.50	2.83	0.00	0.00	0.00	0.00	0.00	1548444	171134	92373	142936	2349	311	999	0.64	0.02	0.08	0.01	0.27	0.01
2.67	0.00	2.50	5.21	0.00	0.00	0.00	0.00	0.00	1549900	175454	96510	133515	2460	454	670	0.69	0.02	0.13	0.01	0.19	0.01
4.31	0.00	2.50	3.79	0.00	0.00	0.00	0.00	0.00	1545392	173978	92837	141080	2315	316	900	0.66	0.02	0.09	0.01	0.25	0.01
2.07	0.00	2.50	5.51	0.00	0.00	0.00	0.00	0.00	1544109	174105	99154	131738	2473	597	600	0.67	0.02	0.16	0.01	0.16	0.01
3.16	0.00	2.50	4.90	0.00	0.00	0.00	0.00	0.00	1541567	175855	95623	134462	2532	410	710	0.69	0.02	0.11	0.01	0.19	0.01
3.38	0.00	2.50	4.73	0.00	0.00	0.00	0.00	0.00	1537200	175680	95529	137130	2522	384	770	0.69	0.02	0.10	0.01	0.21	0.01
3.78	0.00	2.50	4.38	0.00	0.00	0.00	0.00	0.00	1543716	174131	93685	137451	2379	362	836	0.67	0.02	0.10	0.01	0.23	0.01
4.14	0.00	2.50	4.00	0.00	0.00	0.00	0.00	0.00	1546112	173255	92954	139614	2423	291	835	0.68	0.02	0.08	0.00	0.24	0.01
